Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
Dhanuka Agritec,696.00,675.50,680.00,-1.18,2.56
Finolex Ind,622.00,609.05,610.85,-0.76,2.51
JM Financial,89.80,86.35,86.90,-1.14,2.51
Guj Heavy Chem,226.90,217.35,224.30,2.82,2.48
Nilkamal,1972.00,1921.10,1941.00,0.52,2.44
CRISIL,1897.95,1871.20,1874.00,-0.49,2.42
Orient Cement,100.00,95.50,97.25,1.35,2.41
Tube Investment,1154.70,1126.00,1133.85,1.58,2.39
Time Techno,60.75,59.00,59.80,-0.50,2.32
Schneider Infra,98.50,94.35,95.40,-0.16,2.30
Symphony,1292.00,1270.00,1278.60,1.05,2.28
Suprajit Eng,277.15,269.60,270.25,0.02,2.26
Bliss GVS,103.80,99.90,101.10,-0.59,2.24
JK Bank,26.30,25.65,26.00,0.97,2.15
DB Corp,93.80,90.10,93.25,3.27,2.15
TTK Prestige,7349.20,7140.45,7326.40,2.76,2.15
Sobha,453.50,442.90,446.00,0.44,2.13
Shree Renuka,9.65,9.35,9.40,0.53,2.07
NESCO,526.65,517.70,519.80,-0.37,2.02
GE Power India,278.00,270.60,276.80,-0.29,1.93
Mah Scooters,3603.10,3490.00,3586.00,1.90,1.91
Spandana Sphoor,605.45,577.55,583.90,-1.51,1.89
Allcargo,125.20,122.70,123.25,-1.08,1.89
VST,3403.00,3315.00,3375.95,1.37,1.86
SJVN,25.40,25.20,25.25,0.20,1.84
Guj Alkali,340.95,335.00,337.00,0.36,1.79
VRL Logistics,240.90,232.15,235.10,-1.94,1.79
Zydus Wellness,1985.00,1925.00,1942.00,-1.18,1.78
Sadbhav Engg,64.40,62.25,63.30,1.93,1.72
Kalpataru Power,375.20,370.45,373.90,1.49,1.70
Chola Fin Hold,598.70,588.10,591.10,0.78,1.64
KPR Mill,1047.75,1022.00,1026.95,-0.17,1.62
Mahindra Logist,559.40,532.65,552.10,0.46,1.61
Gujarat Pipavav,98.65,96.20,97.10,0.94,1.60
Garden Reach Sh,193.10,186.30,188.10,-1.16,1.59
Timken,1289.00,1250.05,1265.05,0.72,1.54
Heritage Foods,311.75,300.00,302.00,-1.19,1.47
Mahindra Holida,213.80,205.15,207.25,-2.31,1.27
JagranPrakashan,59.50,58.70,59.00,0.34,1.21
Aster DM Health,136.50,133.95,135.75,1.91,1.12
Mah Seamless,282.00,276.40,278.80,1.53,1.10
Star Cement,98.20,95.25,96.20,-0.05,1.09
Hatsun Agro,729.80,717.55,727.15,1.34,1.03
Gujarat Fluoro,590.00,575.00,576.50,-0.66,0.90
Ingersoll Rand,694.80,680.00,684.40,2.08,0.90
Orient Refract,237.90,225.15,229.55,-1.82,0.88
Asahi India,291.60,284.00,284.75,-1.11,0.88
Kolte-Patil,236.90,227.00,231.10,1.85,0.87
Vardhman Text,1229.10,1200.05,1226.30,1.31,0.86
Bharat Rasayan,9414.50,9273.30,9374.00,0.22,0.85
Gulf Oil Lubric,730.00,710.00,722.75,0.28,0.83
Himatsingka Sei,152.35,148.00,148.30,0.03,0.83
Ratnamani Metal,1909.00,1861.00,1863.05,-0.40,0.82
Grindwell Norto,907.30,894.35,899.80,1.26,0.78
MAS Financial S,879.80,860.65,868.30,-0.02,0.76
Shriram City,1405.60,1381.45,1389.90,0.91,0.75
Indostar Capita,318.25,313.25,314.30,-0.63,0.74
TV TodayNetwork,273.00,267.05,270.15,0.02,0.73
Elgi Equipments,186.70,181.40,184.25,2.13,0.66
Solar Ind,1307.25,1283.60,1305.00,0.80,0.65
GE T&D India,115.80,113.00,113.35,0.09,0.62
Omaxe,70.35,68.25,70.00,1.97,0.58
Esab India,1833.35,1804.00,1827.35,0.45,0.50
IWML,1217.00,1191.00,1198.70,-0.71,0.49
Vesuvius India,970.00,932.00,956.15,2.70,0.41
Sheela Foam,2025.00,1970.00,1990.00,0.10,0.38
Hexaware Tech,471.45,470.35,470.80,0.00,0.00
